Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,59.038746051037755,25.94311603499728,5.100156913387273,1.9000000000000017e-2,6.31657612278713e-4,"cx0_1: 2.197e-2, cx0_14: 4.051e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q1,57.072476597662586,101.41320808708285,5.238471217590014,6.15e-2,1.0968301870328127e-3,"cx1_0: 2.197e-2, cx1_2: 1.167e-2, cx1_13: 5.517e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q2,72.9702430423032,144.09938980500468,5.032818478946767,1.6000000000000014e-2,1.5333090847519306e-3,"cx2_1: 1.167e-2, cx2_3: 2.254e-2, cx2_12: 3.525e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q3,61.84023581247934,64.662161790945,4.896089749794893,4.299999999999993e-2,3.848785435254378e-4,"cx3_2: 2.254e-2, cx3_4: 1.600e-2, cx3_11: 4.131e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q4,75.477877145167,31.531859990962197,5.026222823049499,3.400000000000003e-2,9.25422865115562e-4,"cx4_3: 1.600e-2, cx4_5: 3.013e-2, cx4_10: 2.746e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q5,20.788803465401685,36.45377255002293,5.0667678003471766,9.250000000000003e-2,2.690227705027994e-3,"cx5_4: 3.013e-2, cx5_6: 4.377e-2, cx5_9: 5.609e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q6,98.63908625667185,116.19122951908449,4.9240436754112515,1.8000000000000016e-2,7.567699867007162e-4,"cx6_5: 4.377e-2, cx6_8: 3.037e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q7,33.882525786332394,40.52382584391436,4.9744971662652135,4.349999999999998e-2,9.06473443158898e-3,"cx7_8: 4.561e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q8,35.54343726059672,68.79616141818548,4.740673840885793,2.5550000000000006e-1,8.07720752852609e-4,"cx8_6: 3.037e-2, cx8_7: 4.561e-2, cx8_9: 3.428e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q9,41.190321984885436,60.34570411420188,4.963285610774449,4.149999999999998e-2,2.7084473986634674e-3,"cx9_5: 5.609e-2, cx9_8: 3.428e-2, cx9_10: 3.704e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q10,60.85130486258601,57.95109320543078,4.945209311980856,3.550000000000009e-2,2.2025363849370303e-3,"cx10_4: 2.746e-2, cx10_9: 3.704e-2, cx10_11: 3.216e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q11,51.65349829603431,48.44284773932646,5.004791969599455,3.499999999999992e-2,1.9407185954571633e-3,"cx11_3: 4.131e-2, cx11_10: 3.216e-2, cx11_12: 2.670e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q12,87.40755376920836,59.117063905067205,4.759994541455655,3.049999999999997e-2,5.923321513712276e-4,"cx12_2: 3.525e-2, cx12_11: 2.670e-2, cx12_13: 2.629e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q13,30.54009692800363,56.49990679906302,4.968323608520498,9.499999999999997e-2,1.886356582504269e-3,"cx13_1: 5.517e-2, cx13_12: 2.629e-2, cx13_14: 4.292e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
Q14,41.69503034761308,47.9687294060752,5.001476184879374,2.950000000000008e-2,7.688186402030542e-4,"cx14_0: 4.051e-2, cx14_13: 4.292e-2",Sat May 30 2020 15:55:47 GMT+0800 (中国标准时间)
