Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,137.70307240334517,17.14151362421807,4.795939233681877,1.6000000000000014e-2,3.487510399556891e-4,"cx0_1: 8.962e-3",Sat May 30 2020 15:23:08 GMT+0800 (中国标准时间)
Q1,71.0817932034026,109.43975318945233,4.940056767140373,1.100000000000001e-2,3.624454865016462e-4,"cx1_0: 8.962e-3, cx1_2: 7.476e-3, cx1_3: 9.935e-3",Sat May 30 2020 15:23:08 GMT+0800 (中国标准时间)
Q2,108.87617797411998,152.52840977193767,4.83325011216707,2.200000000000002e-2,3.353371081854299e-4,"cx2_1: 7.476e-3",Sat May 30 2020 15:23:08 GMT+0800 (中国标准时间)
Q3,138.7165051863934,106.98491713532263,4.808042046060643,2.300000000000002e-2,4.835826493076027e-4,"cx3_1: 9.935e-3, cx3_4: 7.240e-3",Sat May 30 2020 15:23:08 GMT+0800 (中国标准时间)
Q4,79.67353794750167,47.32840111370259,4.749902635999408,1.3000000000000012e-2,9.02583713408012e-4,"cx4_3: 7.240e-3",Sat May 30 2020 15:23:08 GMT+0800 (中国标准时间)
