Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,49.64232753524692,50.62424361774088,5.254048834932062,2.1666666666666723e-2,3.274578417694977e-4,"cx0_1: 6.746e-3",Sat May 30 2020 15:20:08 GMT+0800 (中国标准时间)
Q1,71.39522751956666,75.39372719833271,5.04872841107647,3.833333333333333e-2,3.116657050108022e-4,"cx1_0: 6.746e-3, cx1_2: 6.535e-3, cx1_3: 1.156e-2",Sat May 30 2020 15:20:08 GMT+0800 (中国标准时间)
Q2,63.93003090961525,133.96088487167393,5.230559152056973,1.6666666666666607e-2,2.6420544571132684e-4,"cx2_1: 6.535e-3",Sat May 30 2020 15:20:08 GMT+0800 (中国标准时间)
Q3,59.63131572585298,103.5016824064797,5.200830029136758,2.6666666666666616e-2,7.101055141979931e-4,"cx3_1: 1.156e-2, cx3_4: 8.710e-3",Sat May 30 2020 15:20:08 GMT+0800 (中国标准时间)
Q4,60.865009647379615,25.815349314024402,5.06576815350361,2.833333333333332e-2,2.329582408817837e-4,"cx4_3: 8.710e-3",Sat May 30 2020 15:20:08 GMT+0800 (中国标准时间)
