Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,47.27778621255508,59.38748173921418,4.499400319032672,4.3333333333333335e-2,9.214123713587983e-4,"cx0_1: 1.083e-2",Mon Jun 01 2020 14:30:44 GMT+0800 (中国标准时间)
Q1,79.63510982829003,162.00890215355653,4.694638666283868,2.499999999999991e-2,3.6291446443141573e-4,"cx1_0: 1.083e-2, cx1_2: 1.704e-2, cx1_3: 8.248e-3",Mon Jun 01 2020 14:30:44 GMT+0800 (中国标准时间)
Q2,104.61845490801477,140.91470156912726,4.6633288377997815,2.6666666666666616e-2,4.594874482179994e-4,"cx2_1: 1.704e-2",Mon Jun 01 2020 14:30:44 GMT+0800 (中国标准时间)
Q3,60.69891713639329,51.3711724430445,4.653762745127934,2.6666666666666616e-2,4.73878741979706e-4,"cx3_1: 8.248e-3, cx3_4: 1.070e-2",Mon Jun 01 2020 14:30:44 GMT+0800 (中国标准时间)
Q4,113.15857491972966,149.16719410506133,4.610936368396416,4.3333333333333335e-2,3.2298273722123125e-4,"cx4_3: 1.070e-2",Mon Jun 01 2020 14:30:44 GMT+0800 (中国标准时间)
