Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,111.41165274741543,17.14151362421807,4.795934405473683,2.0000000000000018e-2,4.0176862592483344e-4,"cx0_1: 8.562e-3",Mon Jun 01 2020 16:10:31 GMT+0800 (中国标准时间)
Q1,83.81797258737033,100.25555400693398,4.940050783558128,1.200000000000001e-2,3.7885927128744433e-4,"cx1_0: 8.562e-3, cx1_2: 8.467e-3, cx1_3: 1.213e-2",Mon Jun 01 2020 16:10:31 GMT+0800 (中国标准时间)
Q2,114.91669462657445,154.82396867899195,4.833252838298536,1.3000000000000012e-2,4.2419175062516693e-4,"cx2_1: 8.467e-3",Mon Jun 01 2020 16:10:31 GMT+0800 (中国标准时间)
Q3,125.89412749704641,117.3145600565774,4.80804270626676,2.7000000000000024e-2,5.219494834908461e-4,"cx3_1: 1.213e-2, cx3_4: 8.113e-3",Mon Jun 01 2020 16:10:31 GMT+0800 (中国标准时间)
Q4,135.48501514349113,47.32840111370259,4.749906634756596,2.100000000000002e-2,8.75245476459631e-4,"cx4_3: 8.113e-3",Mon Jun 01 2020 16:10:31 GMT+0800 (中国标准时间)
