Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,67.14459115466713,25.403462125828238,5.100164112248407,2.5000000000000022e-2,5.503087604906953e-4,"cx0_1: 1.838e-2, cx0_14: 3.141e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q1,55.97769988039214,70.78863742264582,5.238458673668058,7.499999999999996e-2,1.0587278748785181e-3,"cx1_0: 1.838e-2, cx1_2: 1.281e-2, cx1_13: 6.772e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q2,76.74960878014983,123.71841173155273,5.032820343015732,1.8000000000000016e-2,1.1587027726310372e-3,"cx2_1: 1.281e-2, cx2_3: 2.415e-2, cx2_12: 4.458e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q3,87.80647484326866,61.47145272446027,4.8960890819580385,5.449999999999999e-2,4.912512985630137e-4,"cx3_2: 2.415e-2, cx3_4: 2.278e-2, cx3_11: 2.814e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q4,62.557416412612035,30.25678004184172,5.026228127394395,3.600000000000003e-2,1.0623126442082442e-3,"cx4_3: 2.278e-2, cx4_5: 3.404e-2, cx4_10: 3.439e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q5,21.107883202836852,37.662240453875,5.066903610214161,6.2000000000000055e-2,3.4474677722432507e-3,"cx5_4: 3.404e-2, cx5_6: 5.481e-2, cx5_9: 3.927e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q6,68.19435968511871,95.67746764373554,4.924052845035601,1.1349999999999993e-1,1.9855199640033973e-3,"cx6_5: 5.481e-2, cx6_8: 5.187e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q7,37.2851322289754,73.0669916101366,4.974505699109276,5.149999999999999e-2,1.4198302654360878e-3,"cx7_8: 5.059e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q8,40.35361446738528,62.20834231258544,4.740672679910517,3.0200000000000005e-1,1.0240688223688214e-3,"cx8_6: 5.187e-2, cx8_7: 5.059e-2, cx8_9: 4.723e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q9,38.57661022631929,61.4695456640804,4.963285889362419,4.800000000000004e-2,1.4454705345306447e-3,"cx9_5: 3.927e-2, cx9_8: 4.723e-2, cx9_10: 2.945e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q10,47.07451965302361,44.294590180045404,4.945211097500867,2.300000000000002e-2,1.2315006499931276e-3,"cx10_4: 3.439e-2, cx10_9: 2.945e-2, cx10_11: 2.138e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q11,74.98973481167806,109.95353795970006,5.004958717793601,4.849999999999999e-2,4.985706602684734e-4,"cx11_3: 2.814e-2, cx11_10: 2.138e-2, cx11_12: 2.076e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q12,94.79888615432098,57.43644781027112,4.759996921196545,3.600000000000003e-2,5.39821271555898e-4,"cx12_2: 4.458e-2, cx12_11: 2.076e-2, cx12_13: 3.411e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q13,28.95339761396927,51.14047595969417,4.968325227955612,9.050000000000002e-2,2.8527631972035533e-3,"cx13_1: 6.772e-2, cx13_12: 3.411e-2, cx13_14: 4.297e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
Q14,41.86161826110539,48.998384802095515,5.001473183177172,4.0000000000000036e-2,6.770680886237926e-4,"cx14_0: 3.141e-2, cx14_13: 4.297e-2",Fri Jul 03 2020 16:05:53 GMT+0800 (中国标准时间)
