Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,65.51613826130001,121.42470452826937,4.499396347199352,2.0000000000000018e-2,6.60123704988777e-4,"cx0_1: 7.168e-3",Fri Jun 19 2020 15:22:25 GMT+0800 (中国标准时间)
Q1,111.26461323955081,163.84046751860978,4.694644503813593,3.6666666666666625e-2,4.2514021692629855e-4,"cx1_0: 7.168e-3, cx1_2: 1.354e-2, cx1_3: 1.476e-2",Fri Jun 19 2020 15:22:25 GMT+0800 (中国标准时间)
Q2,95.15765745528404,96.80284689292135,4.663327371575503,2.0000000000000018e-2,5.367100028729145e-4,"cx2_1: 1.354e-2",Fri Jun 19 2020 15:22:25 GMT+0800 (中国标准时间)
Q3,98.33827128541135,95.50024450573991,4.653761961345344,1.216666666666667e-1,7.759405641358002e-4,"cx3_1: 1.476e-2, cx3_4: 1.607e-2",Fri Jun 19 2020 15:22:25 GMT+0800 (中国标准时间)
Q4,31.540542821303667,67.62623278046934,4.610940375167979,2.3333333333333317e-2,4.8602089173613365e-4,"cx4_3: 1.607e-2",Fri Jun 19 2020 15:22:25 GMT+0800 (中国标准时间)
