Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,58.38155433826485,25.111001113622525,5.282904187816923,6.75e-2,1.3081759736405928e-3,"cx0_1: 2.173e-2, cx0_2: 1.700e-2",Wed Aug 19 2020 15:26:23 GMT+0800 (中国标准时间)
Q1,52.0883169261193,26.364177235824695,5.247665125108151,2.2499999999999964e-2,9.71419541908169e-4,"cx1_0: 2.173e-2, cx1_2: 2.603e-2",Wed Aug 19 2020 15:26:23 GMT+0800 (中国标准时间)
Q2,28.89877012914786,41.42411242937519,5.03383613854555,2.1500000000000075e-2,5.877772636280557e-4,"cx2_0: 1.700e-2, cx2_1: 2.603e-2, cx2_3: 1.622e-2, cx2_4: 1.521e-2",Wed Aug 19 2020 15:26:23 GMT+0800 (中国标准时间)
Q3,48.2297825099066,41.89352966816332,5.292245372373598,1.6000000000000014e-2,3.1351418196892407e-4,"cx3_2: 1.622e-2, cx3_4: 1.058e-2",Wed Aug 19 2020 15:26:23 GMT+0800 (中国标准时间)
Q4,66.69980012839123,46.44930437631061,5.078482368050882,3.600000000000003e-2,4.941134918842963e-4,"cx4_2: 1.521e-2, cx4_3: 1.058e-2",Wed Aug 19 2020 15:26:23 GMT+0800 (中国标准时间)
