Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,130.46973698921153,180.9231633496091,4.499357157317983,5.0999999999999934e-2,4.786144902686385e-4,"cx0_1: 9.952e-3",Wed Aug 19 2020 14:40:57 GMT+0800 (中国标准时间)
Q1,90.93626886324148,167.9103186913594,4.6946461745558485,2.960000000000007e-2,4.3844249622172494e-4,"cx1_0: 9.952e-3, cx1_2: 1.814e-2, cx1_3: 1.283e-2",Wed Aug 19 2020 14:40:57 GMT+0800 (中国标准时间)
Q2,117.2967574592594,136.35048447480972,4.663954509542864,3.249999999999997e-2,8.643567361991122e-4,"cx2_1: 1.814e-2",Wed Aug 19 2020 14:40:57 GMT+0800 (中国标准时间)
Q3,99.6667585101218,115.40856587794893,4.653641229682187,3.279999999999994e-2,6.649588534054235e-4,"cx3_1: 1.283e-2, cx3_4: 1.440e-2",Wed Aug 19 2020 14:40:57 GMT+0800 (中国标准时间)
Q4,44.27742463642467,75.50649144232527,4.610848010119295,3.370000000000006e-2,7.157118522874539e-4,"cx4_3: 1.440e-2",Wed Aug 19 2020 14:40:57 GMT+0800 (中国标准时间)
