Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,74.79013261772639,69.87471972671985,4.820335696980077,2.5000000000000022e-2,4.1383879091527704e-4,"cx0_1: 8.691e-3",Tue Jun 16 2020 15:58:16 GMT+0800 (中国标准时间)
Q1,85.97095856511147,37.231540060627935,4.890455508991403,2.0000000000000018e-2,5.624065005163158e-4,"cx1_0: 8.691e-3, cx1_2: 8.977e-3, cx1_3: 1.814e-2",Tue Jun 16 2020 15:58:16 GMT+0800 (中国标准时间)
Q2,93.44803678558385,95.4173782908006,4.716568496923356,1.7000000000000015e-2,1.689095974613643e-4,"cx2_1: 8.977e-3",Tue Jun 16 2020 15:58:16 GMT+0800 (中国标准时间)
Q3,104.70356906246313,105.17921619192134,4.788994467380735,2.5000000000000022e-2,3.724399245713932e-4,"cx3_1: 1.814e-2, cx3_4: 6.941e-3",Tue Jun 16 2020 15:58:16 GMT+0800 (中国标准时间)
Q4,137.78837682809743,27.413504244967516,5.023802834195471,4.500000000000004e-2,3.526533658599603e-4,"cx4_3: 6.941e-3",Tue Jun 16 2020 15:58:16 GMT+0800 (中国标准时间)
