Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,52.13505732421047,75.49835840153293,5.25395042630664,2.3333333333333428e-2,5.300319030133779e-4,"cx0_1: 9.951e-3",Wed Jul 15 2020 22:46:01 GMT+0800 (中国标准时间)
Q1,40.87280437799969,42.8739631062373,5.048707661584868,3.166666666666673e-2,5.678819314491477e-4,"cx1_0: 9.951e-3, cx1_2: 1.128e-2, cx1_3: 1.265e-2",Wed Jul 15 2020 22:46:01 GMT+0800 (中国标准时间)
Q2,79.45976431064095,130.68566903206917,5.230582212995159,2.6666666666666616e-2,4.575759807517045e-4,"cx2_1: 1.128e-2",Wed Jul 15 2020 22:46:01 GMT+0800 (中国标准时间)
Q3,58.84567047408089,76.23585969751961,5.200936866578235,4.833333333333334e-2,4.961516409529313e-4,"cx3_1: 1.265e-2, cx3_4: 1.109e-2",Wed Jul 15 2020 22:46:01 GMT+0800 (中国标准时间)
Q4,103.11607000877646,29.542879482290534,5.065779437851193,1.333333333333342e-2,3.112459413506401e-4,"cx4_3: 1.109e-2",Wed Jul 15 2020 22:46:01 GMT+0800 (中国标准时间)
