Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,114.07324745884965,43.842563589733956,4.499398790626816,2.833333333333332e-2,5.821817701215064e-4,"cx0_1: 1.256e-2",Wed Jul 15 2020 14:19:29 GMT+0800 (中国标准时间)
Q1,117.5302348269378,167.0503700806035,4.694639501067251,2.1666666666666723e-2,4.452519870828581e-4,"cx1_0: 1.256e-2, cx1_2: 1.927e-2, cx1_3: 1.267e-2",Wed Jul 15 2020 14:19:29 GMT+0800 (中国标准时间)
Q2,137.77036089911414,138.90929566803342,4.663330340568077,1.8333333333333313e-2,7.047386113484078e-4,"cx2_1: 1.927e-2",Wed Jul 15 2020 14:19:29 GMT+0800 (中国标准时间)
Q3,109.70304071072783,130.6979799074905,4.653763028571439,3.166666666666673e-2,5.46615788969874e-4,"cx3_1: 1.267e-2, cx3_4: 1.339e-2",Wed Jul 15 2020 14:19:29 GMT+0800 (中国标准时间)
Q4,84.72634039336178,123.93135859202692,4.61093689360422,7.499999999999996e-2,4.8795321752646327e-4,"cx4_3: 1.339e-2",Wed Jul 15 2020 14:19:29 GMT+0800 (中国标准时间)
