Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,97.58738768151346,17.14151362421807,4.796459137550759,1.4000000000000012e-2,3.6141399019345906e-4,"cx0_1: 8.307e-3",Wed Jul 15 2020 14:31:22 GMT+0800 (中国标准时间)
Q1,117.9012212032879,109.02059470502667,4.940153835932759,1.200000000000001e-2,4.5104571952692964e-4,"cx1_0: 8.307e-3, cx1_2: 7.120e-3, cx1_3: 1.258e-2",Wed Jul 15 2020 14:31:22 GMT+0800 (中国标准时间)
Q2,121.25430194609673,95.17396320308929,4.833519262826952,8.000000000000007e-3,4.1727007304234883e-4,"cx2_1: 7.120e-3",Wed Jul 15 2020 14:31:22 GMT+0800 (中国标准时间)
Q3,99.51469981883814,116.97744321330106,4.807966387586255,3.0000000000000027e-2,6.702363556647232e-4,"cx3_1: 1.258e-2, cx3_4: 8.531e-3",Wed Jul 15 2020 14:31:22 GMT+0800 (中国标准时间)
Q4,73.10666741098382,41.362144669362976,4.749672954537418,2.300000000000002e-2,6.507589473580902e-4,"cx4_3: 8.531e-3",Wed Jul 15 2020 14:31:22 GMT+0800 (中国标准时间)
