Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,66.29109400273828,79.44051215293614,4.968917985459186,2.0000000000000018e-2,2.2436814887248838e-4,"cx0_1: 1.607e-2",Sat Jun 06 2020 18:03:18 GMT+0800 (中国标准时间)
Q1,82.00621811909382,61.121950791386716,4.770249038378843,2.833333333333332e-2,2.651462497343062e-4,"cx1_0: 1.607e-2, cx1_2: 1.042e-2",Sat Jun 06 2020 18:03:18 GMT+0800 (中国标准时间)
Q2,64.36797414307684,154.30941394646493,5.015394148159922,3.499999999999992e-2,3.8403963773103234e-4,"cx2_1: 1.042e-2, cx2_3: 7.896e-3",Sat Jun 06 2020 18:03:18 GMT+0800 (中国标准时间)
Q3,39.295046431112105,68.85822305575637,5.259024485786769,3.3333333333333326e-2,3.504073684761081e-4,"cx3_2: 7.896e-3, cx3_4: 9.794e-3",Sat Jun 06 2020 18:03:18 GMT+0800 (中国标准时间)
Q4,42.952678675047075,80.80146193212397,4.997788933563557,2.3333333333333317e-2,3.1962458406119124e-4,"cx4_3: 9.794e-3",Sat Jun 06 2020 18:03:18 GMT+0800 (中国标准时间)
