Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,58.46601442737199,162.05401599589044,4.499394068131338,1.3333333333333308e-2,5.39530247551509e-4,"cx0_1: 9.629e-3",Tue Jun 30 2020 14:29:45 GMT+0800 (中国标准时间)
Q1,71.77203604854519,90.31128007149422,4.694640585299884,2.0000000000000018e-2,5.461127702872826e-4,"cx1_0: 9.629e-3, cx1_2: 1.522e-2, cx1_3: 1.196e-2",Tue Jun 30 2020 14:29:45 GMT+0800 (中国标准时间)
Q2,116.33704327833763,147.10423807402267,4.663329880112686,2.0000000000000018e-2,5.440992817353307e-4,"cx2_1: 1.522e-2",Tue Jun 30 2020 14:29:45 GMT+0800 (中国标准时间)
Q3,104.25970186023584,134.55556668929034,4.653761893117832,7.999999999999996e-2,5.364160804488182e-4,"cx3_1: 1.196e-2, cx3_4: 8.980e-3",Tue Jun 30 2020 14:29:45 GMT+0800 (中国标准时间)
Q4,96.94260885349084,145.59223570521857,4.610935203296205,3.499999999999992e-2,3.549559816612884e-4,"cx4_3: 8.980e-3",Tue Jun 30 2020 14:29:45 GMT+0800 (中国标准时间)
