Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,127.29505739615614,17.14151362421807,4.795979549799651,1.5000000000000013e-2,3.528046480472171e-4,"cx0_1: 9.473e-3",Wed May 27 2020 15:52:30 GMT+0800 (China Standard Time)
Q1,103.12825776008519,131.8761737219363,4.940055137284464,1.5000000000000013e-2,5.412920431380807e-4,"cx1_0: 9.473e-3, cx1_2: 8.368e-3, cx1_3: 2.906e-2",Wed May 27 2020 15:52:30 GMT+0800 (China Standard Time)
Q2,127.18565050052747,143.2493005649127,4.8332482340599485,1.6000000000000014e-2,4.681407898139303e-4,"cx2_1: 8.368e-3",Wed May 27 2020 15:52:30 GMT+0800 (China Standard Time)
Q3,170.7208653917702,129.73078933819477,4.808043772241405,7.400000000000007e-2,5.697418878172466e-4,"cx3_1: 2.906e-2, cx3_4: 7.943e-3",Wed May 27 2020 15:52:30 GMT+0800 (China Standard Time)
Q4,70.68314551068512,43.79282767520895,4.749900343940251,2.6000000000000023e-2,5.770645683450093e-4,"cx4_3: 7.943e-3",Wed May 27 2020 15:52:30 GMT+0800 (China Standard Time)
