Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,56.55512996312333,64.2514218897983,5.286408191673523,9.000000000000008e-3,5.626765103259299e-4,"cx0_1: 1.429e-2, cx0_2: 1.410e-2",Wed May 27 2020 17:18:37 GMT+0800 (China Standard Time)
Q1,63.366119864638506,91.11535215591717,5.238267630005042,1.7000000000000015e-2,6.371706228419911e-4,"cx1_0: 1.429e-2, cx1_2: 1.677e-2",Wed May 27 2020 17:18:37 GMT+0800 (China Standard Time)
Q2,52.514038585806276,59.20113236896374,5.030454324407296,2.0499999999999963e-2,3.738941294694983e-4,"cx2_0: 1.410e-2, cx2_1: 1.677e-2, cx2_3: 1.434e-2, cx2_4: 1.120e-2",Wed May 27 2020 17:18:37 GMT+0800 (China Standard Time)
Q3,53.663975443305546,40.68070079484797,5.295592183647093,3.500000000000003e-2,4.236342913988994e-4,"cx3_2: 1.434e-2, cx3_4: 1.149e-2",Wed May 27 2020 17:18:37 GMT+0800 (China Standard Time)
Q4,44.726744219893064,55.849947132952444,5.084385326934014,1.9000000000000017e-2,3.809055965947631e-4,"cx4_2: 1.120e-2, cx4_3: 1.149e-2",Wed May 27 2020 17:18:37 GMT+0800 (China Standard Time)
