Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,53.14131699215336,54.83634126416239,5.254054006895448,3.0000000000000027e-2,3.2155928991785943e-4,"cx0_1: 9.978e-3",Wed May 27 2020 15:30:18 GMT+0800 (China Standard Time)
Q1,59.363703993079646,65.25732363823407,5.048725056737542,7.166666666666666e-2,3.3299739403672894e-4,"cx1_0: 9.978e-3, cx1_2: 8.389e-3, cx1_3: 1.027e-2",Wed May 27 2020 15:30:18 GMT+0800 (China Standard Time)
Q2,89.99387988207044,133.16714121514863,5.230559719817871,2.5000000000000022e-2,2.74128754192309e-4,"cx2_1: 8.389e-3",Wed May 27 2020 15:30:18 GMT+0800 (China Standard Time)
Q3,81.56050755411685,105.13720511439152,5.20086981804039,1.8333333333333313e-2,4.036287446216659e-4,"cx3_1: 1.027e-2, cx3_4: 1.679e-2",Wed May 27 2020 15:30:18 GMT+0800 (China Standard Time)
Q4,108.57913902255773,32.956606705929985,5.065777751149703,5.3333333333333344e-2,3.274445646488771e-4,"cx4_3: 1.679e-2",Wed May 27 2020 15:30:18 GMT+0800 (China Standard Time)
