Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,93.13548031869693,146.7114801002671,4.499806285514248,3.0000000000000027e-2,3.576229959185861e-4,"cx0_1: 8.561e-3",Wed May 27 2020 14:38:53 GMT+0800 (China Standard Time)
Q1,90.95091841858446,147.95762694173135,4.694635268718634,2.1666666666666723e-2,3.5704951682102496e-4,"cx1_0: 8.561e-3, cx1_2: 1.013e-2, cx1_3: 1.001e-2",Wed May 27 2020 14:38:53 GMT+0800 (China Standard Time)
Q2,127.2185959638781,154.85086561142674,4.663328248388736,2.1666666666666723e-2,6.440132117510581e-4,"cx2_1: 1.013e-2",Wed May 27 2020 14:38:53 GMT+0800 (China Standard Time)
Q3,110.849656361109,143.72048758954082,4.653756890077533,4.0000000000000036e-2,6.092344368642102e-4,"cx3_1: 1.001e-2, cx3_4: 1.298e-2",Wed May 27 2020 14:38:53 GMT+0800 (China Standard Time)
Q4,84.91403385064936,131.7877623533224,4.610937239261797,2.833333333333332e-2,3.9027546604108424e-4,"cx4_3: 1.298e-2",Wed May 27 2020 14:38:53 GMT+0800 (China Standard Time)
