Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,126.36255954574068,94.5537788096985,4.819486330112745,2.400000000000002e-2,3.701889365876293e-4,"cx0_1: 6.586e-3",Wed May 27 2020 15:19:44 GMT+0800 (China Standard Time)
Q1,106.31012925647615,41.31302457589546,4.891247258296647,1.8000000000000016e-2,3.030247563780052e-4,"cx1_0: 6.586e-3, cx1_2: 9.630e-3, cx1_3: 1.176e-2",Wed May 27 2020 15:19:44 GMT+0800 (China Standard Time)
Q2,112.2904065898335,119.57619160387915,4.7168429470351985,1.100000000000001e-2,4.895990766063898e-4,"cx2_1: 9.630e-3",Wed May 27 2020 15:19:44 GMT+0800 (China Standard Time)
Q3,82.82139822430149,84.8757549832752,4.789031366807283,3.400000000000003e-2,4.2196345902969666e-4,"cx3_1: 1.176e-2, cx3_4: 1.074e-2",Wed May 27 2020 15:19:44 GMT+0800 (China Standard Time)
Q4,81.87570719772431,53.35403262632534,5.023683459942732,3.400000000000003e-2,4.160925307186292e-4,"cx4_3: 1.074e-2",Wed May 27 2020 15:19:44 GMT+0800 (China Standard Time)
