Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,49.47161733416697,69.63768678598413,5.286399887776236,2.2499999999999964e-2,8.469087175499188e-4,"cx0_1: 1.454e-2, cx0_2: 1.757e-2",Tue Jun 23 2020 16:57:42 GMT+0800 (中国标准时间)
Q1,61.599435110099705,66.55112283016817,5.2382624195309395,1.7000000000000015e-2,7.726684910498912e-4,"cx1_0: 1.454e-2, cx1_2: 1.590e-2",Tue Jun 23 2020 16:57:42 GMT+0800 (中国标准时间)
Q2,55.98866235854386,73.42823131254296,5.030504140815117,2.1500000000000075e-2,8.947495796817406e-4,"cx2_0: 1.757e-2, cx2_1: 1.590e-2, cx2_3: 1.263e-2, cx2_4: 1.488e-2",Tue Jun 23 2020 16:57:42 GMT+0800 (中国标准时间)
Q3,71.5897880152217,50.522438178793244,5.295598734959822,3.700000000000003e-2,7.925737337472123e-4,"cx3_2: 1.263e-2, cx3_4: 1.236e-2",Tue Jun 23 2020 16:57:42 GMT+0800 (中国标准时间)
Q4,62.24970956550281,64.28773519194966,5.084378762811995,1.8000000000000016e-2,4.523454637279983e-4,"cx4_2: 1.488e-2, cx4_3: 1.236e-2",Tue Jun 23 2020 16:57:42 GMT+0800 (中国标准时间)
