Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,119.79602443666589,76.06774964866213,4.49939801868426,2.833333333333332e-2,7.61270425194141e-4,"cx0_1: 1.921e-2",Tue Jun 23 2020 14:44:56 GMT+0800 (中国标准时间)
Q1,69.73986958794737,116.59594176288658,4.694635361144929,2.833333333333332e-2,1.697784583445554e-3,"cx1_0: 1.921e-2, cx1_2: 2.970e-2, cx1_3: 3.456e-2",Tue Jun 23 2020 14:44:56 GMT+0800 (中国标准时间)
Q2,80.95612597811946,87.35453685999157,4.663324265222793,3.833333333333333e-2,6.589480885846576e-4,"cx2_1: 2.970e-2",Tue Jun 23 2020 14:44:56 GMT+0800 (中国标准时间)
Q3,97.7845634871047,105.98000982966651,4.6537701876543895,5.666666666666664e-2,9.12075292481138e-4,"cx3_1: 3.456e-2, cx3_4: 3.066e-2",Tue Jun 23 2020 14:44:56 GMT+0800 (中国标准时间)
Q4,88.61985484356246,14.906026738165247,4.610937172378376,8.833333333333337e-2,1.6063625853251968e-3,"cx4_3: 3.066e-2",Tue Jun 23 2020 14:44:56 GMT+0800 (中国标准时间)
