Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,68.44651184234307,128.70284979762343,4.968911240633093,1.5000000000000013e-2,2.2211253136642604e-4,"cx0_1: 9.766e-3",Tue Jun 23 2020 18:24:49 GMT+0800 (中国标准时间)
Q1,105.80939153310403,55.157266762199484,4.7702542061097075,3.3333333333333326e-2,2.6360788373479944e-4,"cx1_0: 9.766e-3, cx1_2: 7.971e-3",Tue Jun 23 2020 18:24:49 GMT+0800 (中国标准时间)
Q2,64.16289054633705,87.49169749751509,5.015393924801361,2.6666666666666616e-2,2.4324414457722722e-4,"cx2_1: 7.971e-3, cx2_3: 7.945e-3",Tue Jun 23 2020 18:24:49 GMT+0800 (中国标准时间)
Q3,45.82069659879347,86.5388436011014,5.259019907049404,2.1666666666666723e-2,2.9956277389197873e-4,"cx3_2: 7.945e-3, cx3_4: 9.804e-3",Tue Jun 23 2020 18:24:49 GMT+0800 (中国标准时间)
Q4,80.64370568865216,99.32455775126513,4.997796940496019,1.8333333333333313e-2,2.3934629592338308e-4,"cx4_3: 9.804e-3",Tue Jun 23 2020 18:24:49 GMT+0800 (中国标准时间)
