Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,121.55944060379274,190.70278389333765,4.499408798960451,2.6666666666666616e-2,5.790232403123812e-4,"cx0_1: 1.052e-2",Mon Jun 08 2020 15:45:23 GMT+0800 (中国标准时间)
Q1,90.00227109831404,133.0452785557522,4.694637794227588,1.5999999999999992e-1,3.571763771107451e-4,"cx1_0: 1.052e-2, cx1_2: 1.283e-2, cx1_3: 1.345e-2",Mon Jun 08 2020 15:45:23 GMT+0800 (中国标准时间)
Q2,123.76025253661317,164.30399420085723,4.663334129241234,7.499999999999996e-2,5.043516486250093e-4,"cx2_1: 1.283e-2",Mon Jun 08 2020 15:45:23 GMT+0800 (中国标准时间)
Q3,52.54487520813951,96.31849842011005,4.653757140433203,5.833333333333335e-2,7.765350886982479e-4,"cx3_1: 1.345e-2, cx3_4: 1.698e-2",Mon Jun 08 2020 15:45:23 GMT+0800 (中国标准时间)
Q4,71.60690439947932,127.02751039586317,4.6109378931499,3.500000000000003e-2,6.43520832826601e-4,"cx4_3: 1.698e-2",Mon Jun 08 2020 15:45:23 GMT+0800 (中国标准时间)
