Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,71.56848434255129,27.006300234626853,5.100159540200693,2.750000000000008e-2,7.526627316976491e-4,"cx0_1: 2.334e-2, cx0_14: 3.601e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q1,71.40937346856937,117.21590533580726,5.238457384451537,7.799999999999996e-2,7.918102719189651e-4,"cx1_0: 2.334e-2, cx1_2: 1.282e-2, cx1_13: 5.601e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q2,66.42696260415883,121.24459850450978,5.0328238254576885,3.249999999999997e-2,7.462874861767063e-4,"cx2_1: 1.282e-2, cx2_3: 2.760e-2, cx2_12: 3.484e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q3,68.79572516629155,40.18409554974673,4.896089984525398,3.500000000000003e-2,4.22423589190929e-4,"cx3_2: 2.760e-2, cx3_4: 1.989e-2, cx3_11: 4.154e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q4,54.22810004921071,27.20843992427584,5.0262200045705745,2.4499999999999966e-2,9.465142395955322e-4,"cx4_3: 1.989e-2, cx4_5: 3.772e-2, cx4_10: 3.227e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q5,16.309117905032025,34.0873475270627,5.06678517191066,1.140000000000001e-1,3.183798851150272e-3,"cx5_4: 3.772e-2, cx5_6: 5.297e-2, cx5_9: 5.775e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q6,95.5961859642096,121.0553795363625,4.924047274297621,2.4499999999999966e-2,8.826744572824346e-4,"cx6_5: 5.297e-2, cx6_8: 3.776e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q7,42.18713659283903,84.8739661520982,4.9745320218802025,1.1650000000000005e-1,4.623591927067676e-3,"cx7_8: 5.728e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q8,38.47514775654924,67.85255699376025,4.74065780100661,2.905e-1,7.446343424345444e-4,"cx8_6: 3.776e-2, cx8_7: 5.728e-2, cx8_9: 3.383e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q9,48.14411518086072,89.83532448962174,4.9632883771928755,4.6499999999999986e-2,1.7368592207960183e-3,"cx9_5: 5.775e-2, cx9_8: 3.383e-2, cx9_10: 4.118e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q10,58.598896585129715,51.163918757157,4.94521232222589,3.1500000000000083e-2,2.153558031186506e-3,"cx10_4: 3.227e-2, cx10_9: 4.118e-2, cx10_11: 4.353e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q11,63.9934562581064,55.478921184552746,5.004841261581404,4.0999999999999925e-2,1.7713808442407642e-3,"cx11_3: 4.154e-2, cx11_10: 4.353e-2, cx11_12: 2.868e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q12,91.09239698771711,61.12979704963867,4.759995521126908,2.1500000000000075e-2,5.001978836169727e-4,"cx12_2: 3.484e-2, cx12_11: 2.868e-2, cx12_13: 3.043e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q13,24.05517544579367,46.6739877748322,4.968328287046516,9.499999999999997e-2,1.7130924137851722e-3,"cx13_1: 5.601e-2, cx13_12: 3.043e-2, cx13_14: 5.412e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
Q14,39.779881320432345,47.49170561363705,5.001474393450978,3.699999999999992e-2,8.75811956384465e-4,"cx14_0: 3.601e-2, cx14_13: 5.412e-2",Mon Jun 08 2020 15:51:30 GMT+0800 (中国标准时间)
