Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,137.00428716547938,13.281374697173206,4.796460507017297,1.5000000000000013e-2,4.521835212528805e-4,"cx0_1: 8.937e-3",Thu Aug 13 2020 14:32:58 GMT+0800 (中国标准时间)
Q1,104.54167957090085,111.2458934658464,4.940126120993777,1.9000000000000017e-2,5.36571485591424e-4,"cx1_0: 8.937e-3, cx1_2: 7.553e-3, cx1_3: 1.209e-2",Thu Aug 13 2020 14:32:58 GMT+0800 (中国标准时间)
Q2,91.52739609689075,131.27738224234653,4.833509369660793,1.4000000000000012e-2,3.324331342208792e-4,"cx2_1: 7.553e-3",Thu Aug 13 2020 14:32:58 GMT+0800 (中国标准时间)
Q3,101.56175877840651,103.5935516191261,4.807963011287948,2.200000000000002e-2,5.691469096417025e-4,"cx3_1: 1.209e-2, cx3_4: 7.508e-3",Thu Aug 13 2020 14:32:58 GMT+0800 (中国标准时间)
Q4,126.93440152934721,24.590636341228418,4.7496715910619,2.0000000000000018e-2,6.226299790142921e-4,"cx4_3: 7.508e-3",Thu Aug 13 2020 14:32:58 GMT+0800 (中国标准时间)
