Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,70.18952603292055,107.58475662976616,5.254007813204981,4.3333333333333335e-2,4.483501895625489e-4,"cx0_1: 1.003e-2",Thu Aug 13 2020 15:29:38 GMT+0800 (中国标准时间)
Q1,78.9902689625577,96.44389870093306,5.0488505131274035,4.499999999999993e-2,5.315703986203949e-4,"cx1_0: 1.003e-2, cx1_2: 1.046e-2, cx1_3: 1.473e-2",Thu Aug 13 2020 15:29:38 GMT+0800 (中国标准时间)
Q2,69.5960155381861,26.702849056999906,5.230319697261795,1.5166666666666662e-1,3.376062453210965e-4,"cx2_1: 1.046e-2",Thu Aug 13 2020 15:29:38 GMT+0800 (中国标准时间)
Q3,56.44924718276585,74.54395749406483,5.201324541052339,3.0000000000000027e-2,3.0285078670843306e-4,"cx3_1: 1.473e-2, cx3_4: 2.279e-2",Thu Aug 13 2020 15:29:38 GMT+0800 (中国标准时间)
Q4,60.526285928069484,19.682689995588056,5.065924554487627,4.3333333333333335e-2,5.503052653194842e-4,"cx4_3: 2.279e-2",Thu Aug 13 2020 15:29:38 GMT+0800 (中国标准时间)
