Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,57.99383543736142,88.26749500635516,5.254061548924549,1.8333333333333313e-2,4.112391258771267e-4,"cx0_1: 9.466e-3",Fri Jun 05 2020 15:19:39 GMT+0800 (中国标准时间)
Q1,71.78734762137435,55.913499208160864,5.048733089027293,2.5000000000000022e-2,6.692568843924153e-4,"cx1_0: 9.466e-3, cx1_2: 1.039e-2, cx1_3: 1.069e-2",Fri Jun 05 2020 15:19:39 GMT+0800 (中国标准时间)
Q2,70.71953073579036,140.93031930220994,5.23055950866356,2.1666666666666723e-2,3.8459753276723265e-4,"cx2_1: 1.039e-2",Fri Jun 05 2020 15:19:39 GMT+0800 (中国标准时间)
Q3,91.76159892611005,123.38693862366135,5.2009073018879635,2.0000000000000018e-2,3.4633068268457776e-4,"cx3_1: 1.069e-2, cx3_4: 1.091e-2",Fri Jun 05 2020 15:19:39 GMT+0800 (中国标准时间)
Q4,80.67421983319575,31.619929406739928,5.065773565087703,2.6666666666666616e-2,4.866425273112804e-4,"cx4_3: 1.091e-2",Fri Jun 05 2020 15:19:39 GMT+0800 (中国标准时间)
