Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,68.18112189947894,21.20915434647983,5.1001601830172945,2.2499999999999964e-2,4.4224852333421875e-4,"cx0_1: 1.437e-2, cx0_14: 2.522e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q1,69.55906082026443,113.91808095919353,5.238487774393455,1.0400000000000009e-1,1.0620730486545647e-3,"cx1_0: 1.437e-2, cx1_2: 2.324e-2, cx1_13: 5.945e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q2,69.5776831295976,94.93654549985216,5.03282105604982,4.600000000000004e-2,1.6135289347811138e-3,"cx2_1: 2.324e-2, cx2_3: 3.141e-2, cx2_12: 3.838e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q3,50.07101616244596,42.169093403205196,4.896091279590144,5.5499999999999994e-2,4.813238469538719e-4,"cx3_2: 3.141e-2, cx3_4: 1.935e-2, cx3_11: 3.135e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q4,73.0429123659537,29.72389972808503,5.02622359329068,3.249999999999997e-2,8.345023298373781e-4,"cx4_3: 1.935e-2, cx4_5: 3.512e-2, cx4_10: 2.842e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q5,16.302017649511104,29.89868882970068,5.06678880588266,1.0550000000000004e-1,3.3876976809415933e-3,"cx5_4: 3.512e-2, cx5_6: 6.432e-2, cx5_9: 4.204e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q6,91.00185358506367,58.56686363160028,4.924052980664448,4.699999999999993e-2,3.008462090942944e-3,"cx6_5: 6.432e-2, cx6_8: 3.248e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q7,42.94958904253713,66.36687600026694,4.974511445908664,9.899999999999998e-2,1.409220836292076e-3,"cx7_8: 2.667e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q8,41.59130268189165,70.66395431095324,4.740658020192963,2.66e-1,8.412354862007396e-4,"cx8_6: 3.248e-2, cx8_7: 2.667e-2, cx8_9: 3.100e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q9,30.02928820000237,80.3480454948892,4.963279867791897,4.1000000000000036e-2,1.7255295406040946e-3,"cx9_5: 4.204e-2, cx9_8: 3.100e-2, cx9_10: 7.735e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q10,59.27405539664226,51.704470137643355,4.945209732735455,3.5499999999999976e-2,1.6815364025736166e-3,"cx10_4: 2.842e-2, cx10_9: 7.735e-2, cx10_11: 2.910e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q11,51.65349829603431,74.54036996902552,5.004837728395342,2.849999999999997e-2,1.8353374250641595e-3,"cx11_3: 3.135e-2, cx11_10: 2.910e-2, cx11_12: 2.486e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q12,105.50923299517291,60.1524509285282,4.759993054631379,2.6499999999999968e-2,5.610464050767091e-4,"cx12_2: 3.838e-2, cx12_11: 2.486e-2, cx12_13: 3.028e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q13,24.98586221236847,47.27695153461704,4.968330678334913,9.499999999999997e-2,1.9356881175634478e-3,"cx13_1: 5.945e-2, cx13_12: 3.028e-2, cx13_14: 5.375e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
Q14,35.997259836398015,44.605974679455905,5.001479634542608,4.949999999999999e-2,7.30823465174422e-4,"cx14_0: 2.522e-2, cx14_13: 5.375e-2",Fri Jun 05 2020 16:09:00 GMT+0800 (中国标准时间)
