Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,52.1274064189662,50.22889767043804,4.74390719194951,3.875000000000006e-2,4.5687473410685556e-4,"cx0_1: 7.979e-3",Tue Aug 25 2020 16:30:48 GMT+0800 (中国标准时间)
Q1,99.9404777128062,51.60847021283533,4.657210983304916,3.249999999999997e-2,4.403069685427802e-4,"cx1_0: 7.979e-3, cx1_2: 1.103e-2, cx1_3: 1.466e-2",Tue Aug 25 2020 16:30:48 GMT+0800 (中国标准时间)
Q2,77.87231099321615,25.385028035832654,4.792484386121212,4.875000000000007e-2,4.815743378032995e-4,"cx2_1: 1.103e-2",Tue Aug 25 2020 16:30:48 GMT+0800 (中国标准时间)
Q3,67.08064180610225,51.67822209546465,4.834412941161399,1.4999999999999902e-2,3.880057283580684e-4,"cx3_1: 1.466e-2, cx3_4: 1.276e-2",Tue Aug 25 2020 16:30:48 GMT+0800 (中国标准时间)
Q4,62.49885192753515,104.69048910748955,4.9595226275521656,1.2499999999999956e-2,3.9196974833995987e-4,"cx4_3: 1.276e-2",Tue Aug 25 2020 16:30:48 GMT+0800 (中国标准时间)
