Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,96.81649285801481,54.56601069599922,4.820325125751481,1.4000000000000012e-2,2.3741889156235236e-4,"cx0_1: 6.646e-3",Tue Aug 25 2020 16:44:41 GMT+0800 (中国标准时间)
Q1,69.15437093207827,28.386598938224445,4.890176418425789,2.100000000000002e-2,4.1126135850113677e-4,"cx1_0: 6.646e-3, cx1_2: 7.875e-3, cx1_3: 1.049e-2",Tue Aug 25 2020 16:44:41 GMT+0800 (中国标准时间)
Q2,100.36465543066521,126.62437288854308,4.716561899351061,1.8000000000000016e-2,2.3628239529150486e-4,"cx2_1: 7.875e-3",Tue Aug 25 2020 16:44:41 GMT+0800 (中国标准时间)
Q3,84.7949801488217,68.2753258330641,4.7890126712732055,4.9000000000000044e-2,2.4874953923244655e-4,"cx3_1: 1.049e-2, cx3_4: 9.241e-3",Tue Aug 25 2020 16:44:41 GMT+0800 (中国标准时间)
Q4,44.916765178644674,20.634127404721536,5.02378172949216,4.200000000000004e-2,5.024299259397201e-4,"cx4_3: 9.241e-3",Tue Aug 25 2020 16:44:41 GMT+0800 (中国标准时间)
