Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,121.11841654732719,182.70865807503458,4.499350632383817,3.520000000000001e-2,3.324543757130117e-4,"cx0_1: 8.663e-3",Tue Aug 25 2020 14:26:18 GMT+0800 (中国标准时间)
Q1,110.95940099251548,182.01849698967806,4.694645448395564,4.180000000000006e-2,4.659578812081035e-4,"cx1_0: 8.663e-3, cx1_2: 1.547e-2, cx1_3: 1.077e-2",Tue Aug 25 2020 14:26:18 GMT+0800 (中国标准时间)
Q2,121.5577775484983,170.25302186675685,4.663954796207648,2.090000000000003e-2,5.675743495562139e-4,"cx2_1: 1.547e-2",Tue Aug 25 2020 14:26:18 GMT+0800 (中国标准时间)
Q3,100.48009830310603,131.12455748754334,4.653487806370905,3.960000000000008e-2,5.266253748900481e-4,"cx3_1: 1.077e-2, cx3_4: 1.347e-2",Tue Aug 25 2020 14:26:18 GMT+0800 (中国标准时间)
Q4,60.623211857013665,89.26715284658417,4.610822396841718,5.5400000000000005e-2,6.658725354973273e-4,"cx4_3: 1.347e-2",Tue Aug 25 2020 14:26:18 GMT+0800 (中国标准时间)
