Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,61.73656014995912,73.88211902704117,5.286413446035019,1.0499999999999954e-2,4.4183164964635386e-4,"cx0_1: 1.300e-2, cx0_2: 1.339e-2",Sun May 31 2020 17:36:47 GMT+0800 (China Standard Time)
Q1,61.11448311348852,62.22253934086791,5.238268491533954,2.0000000000000018e-2,4.6765585862278467e-4,"cx1_0: 1.300e-2, cx1_2: 1.181e-2",Sun May 31 2020 17:36:47 GMT+0800 (China Standard Time)
Q2,63.929004251187,77.84173252099318,5.03044974160203,2.300000000000002e-2,3.713976187469846e-4,"cx2_0: 1.339e-2, cx2_1: 1.181e-2, cx2_3: 1.549e-2, cx2_4: 1.325e-2",Sun May 31 2020 17:36:47 GMT+0800 (China Standard Time)
Q3,66.50423644886074,39.6805692124024,5.295594432090607,2.400000000000002e-2,3.5256777815681093e-4,"cx3_2: 1.549e-2, cx3_4: 1.018e-2",Sun May 31 2020 17:36:47 GMT+0800 (China Standard Time)
Q4,54.9141660067323,46.88753313327806,5.084392479117611,1.6000000000000014e-2,3.697270640347908e-4,"cx4_2: 1.325e-2, cx4_3: 1.018e-2",Sun May 31 2020 17:36:47 GMT+0800 (China Standard Time)
