Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,118.78643788123395,20.81370398631644,4.796609411253455,1.200000000000001e-2,2.667106110779548e-4,"cx0_1: 1.200e-2",Mon Sep 14 2020 15:02:00 GMT+0800 (中国标准时间)
Q1,117.08406789283978,103.76096913297475,4.940124364848578,1.4000000000000012e-2,4.5400476891677865e-4,"cx1_0: 1.200e-2, cx1_2: 1.036e-2, cx1_3: 1.177e-2",Mon Sep 14 2020 15:02:00 GMT+0800 (中国标准时间)
Q2,133.53294977045528,56.433721701933074,4.83351444844126,1.100000000000001e-2,4.21102879706223e-4,"cx2_1: 1.036e-2",Mon Sep 14 2020 15:02:00 GMT+0800 (中国标准时间)
Q3,87.0288348412418,116.612538715148,4.807962029455687,2.0000000000000018e-2,7.490108914644603e-4,"cx3_1: 1.177e-2, cx3_4: 8.302e-3",Mon Sep 14 2020 15:02:00 GMT+0800 (中国标准时间)
Q4,127.3977288246895,59.56247201797768,4.7496674819072675,1.5000000000000013e-2,5.597960730761119e-4,"cx4_3: 8.302e-3",Mon Sep 14 2020 15:02:00 GMT+0800 (中国标准时间)
