Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,64.81908443073333,88.04446606117425,5.114861938564273,3.410000000000002e-2,5.928812478471252e-4,"cx0_1: 2.121e-2, cx0_14: 3.071e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q1,54.64428302962083,60.53111210521041,5.235701394260052,3.200000000000003e-2,9.451624689910726e-4,"cx1_0: 2.121e-2, cx1_2: 1.059e-2, cx1_13: 5.466e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q2,65.95453531936381,81.04330710617876,5.038442706278229,2.980000000000005e-2,6.104443867311128e-4,"cx2_1: 1.059e-2, cx2_3: 2.431e-2, cx2_12: 4.330e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q3,68.25946215316053,17.53405526456708,4.894577864366642,8.230000000000004e-2,6.223490890472143e-4,"cx3_2: 2.431e-2, cx3_4: 1.617e-2, cx3_11: 1.211e-1",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q4,60.03457082068375,59.20654486123174,5.021588644369653,6.320000000000003e-2,7.52797586853277e-4,"cx4_3: 1.617e-2, cx4_5: 3.089e-2, cx4_10: 3.394e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q5,20.710906475364634,39.41316894000763,5.073076390835095,4.9900000000000055e-2,2.480436892883812e-3,"cx5_4: 3.089e-2, cx5_6: 4.695e-2, cx5_9: 3.586e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q6,74.3897392929087,87.05222590482163,4.9293887926918725,6.600000000000006e-2,1.033755078086815e-3,"cx6_5: 4.695e-2, cx6_8: 2.672e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q7,30.346979891039236,13.238849452709792,4.9826189542987045,6.25e-2,1.8327065838776087e-3,"cx7_8: 3.754e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q8,106.95955688649711,136.6838482454547,4.7516567199135755,6.420000000000003e-2,5.206878320361608e-4,"cx8_6: 2.672e-2, cx8_7: 3.754e-2, cx8_9: 2.566e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q9,51.35832544145471,75.89184489342604,4.973456029882546,6.35e-2,1.0973097612383914e-3,"cx9_5: 3.586e-2, cx9_8: 2.566e-2, cx9_10: 3.744e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q10,65.54440478688979,74.03842746832227,4.944796026952112,5.4400000000000004e-2,1.4975157711526411e-3,"cx10_4: 3.394e-2, cx10_9: 3.744e-2, cx10_11: 5.681e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q11,18.259640714402337,32.95627911527368,4.997850579601694,3.012e-1,1.7379399069869426e-2,"cx11_3: 1.211e-1, cx11_10: 5.681e-2, cx11_12: 5.530e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q12,70.62596956435577,61.62770707438528,4.76342450021417,9.209999999999996e-2,1.093748922348227e-3,"cx12_2: 4.330e-2, cx12_11: 5.530e-2, cx12_13: 2.812e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q13,32.10695166603479,35.5853059376135,4.9742658899261585,1.0759999999999992e-1,2.072399402906603e-3,"cx13_1: 5.466e-2, cx13_12: 2.812e-2, cx13_14: 3.456e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
Q14,35.234671863544754,50.83170617433482,5.0067867085283355,7.250000000000001e-2,8.390561077042493e-4,"cx14_0: 3.071e-2, cx14_13: 3.456e-2",Tue Sep 15 2020 07:50:14 GMT+0800 (中国标准时间)
