Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,75.35686008239529,24.68687622815884,5.100162892866884,2.849999999999997e-2,6.653312080195089e-4,"cx0_1: 2.021e-2, cx0_14: 3.182e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q1,54.260128270987934,90.17599488997679,5.2384658882670445,8.350000000000002e-2,1.4625218460275454e-3,"cx1_0: 2.021e-2, cx1_2: 1.360e-2, cx1_13: 5.509e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q2,50.14492328081326,78.76635435804762,5.0328219334246,2.4499999999999966e-2,8.21646841121344e-4,"cx2_1: 1.360e-2, cx2_3: 2.396e-2, cx2_12: 3.377e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q3,66.30172157924352,63.877518294865695,4.896091700403671,4.499999999999993e-2,5.129040923865385e-4,"cx3_2: 2.396e-2, cx3_4: 1.808e-2, cx3_11: 3.133e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q4,66.64294719591355,30.976128286788697,5.026220565871599,2.1500000000000075e-2,1.4645171806659844e-3,"cx4_3: 1.808e-2, cx4_5: 3.197e-2, cx4_10: 2.472e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q5,15.100281156951027,26.6292632573322,5.066779539066642,1.1150000000000004e-1,3.408759442929494e-3,"cx5_4: 3.197e-2, cx5_6: 6.139e-2, cx5_9: 4.226e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q6,68.22783543451423,68.13295418101598,4.924045220101293,2.7000000000000024e-2,1.6266744807028257e-3,"cx6_5: 6.139e-2, cx6_8: 3.169e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q7,31.32078425386604,35.33751928881578,4.974504699865941,7.699999999999996e-2,4.526088772034338e-3,"cx7_8: 3.565e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q8,27.412723658458447,59.58961581874601,4.740676753623836,3.035e-1,5.70584952916603e-4,"cx8_6: 3.169e-2, cx8_7: 3.565e-2, cx8_9: 3.395e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q9,43.4700132598588,79.37126235510475,4.963283839749417,5.499999999999994e-2,1.3531289152716207e-3,"cx9_5: 4.226e-2, cx9_8: 3.395e-2, cx9_10: 3.033e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q10,61.488136802392,48.71842011666157,4.945211289188196,3.1000000000000028e-2,1.0824898929948457e-3,"cx10_4: 2.472e-2, cx10_9: 3.033e-2, cx10_11: 2.034e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q11,63.9934562581064,105.9651673835109,5.004969974560942,3.5499999999999976e-2,5.823776751269045e-4,"cx11_3: 3.133e-2, cx11_10: 2.034e-2, cx11_12: 1.795e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q12,97.35552364442515,59.34262966032796,4.759997308595504,4.200000000000004e-2,6.88614400804818e-4,"cx12_2: 3.377e-2, cx12_11: 1.795e-2, cx12_13: 2.735e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q13,30.519136310035066,55.37613092521754,4.96832808941945,1.0749999999999993e-1,1.6339984426469577e-3,"cx13_1: 5.509e-2, cx13_12: 2.735e-2, cx13_14: 4.470e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
Q14,43.35552665255823,51.54831264283422,5.001483780742375,5.5499999999999994e-2,7.909190527668265e-4,"cx14_0: 3.182e-2, cx14_13: 4.470e-2",Thu Jun 18 2020 16:09:35 GMT+0800 (中国标准时间)
