Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,93.70958188042844,19.51426553476893,4.796564244150314,1.6000000000000014e-2,3.9545840450836263e-4,"cx0_1: 1.188e-2",Mon Sep 28 2020 15:25:52 GMT+0800 (中国标准时间)
Q1,56.011039916876584,92.12830254742222,4.940126373017018,2.100000000000002e-2,4.895303553647876e-4,"cx1_0: 1.188e-2, cx1_2: 1.009e-2, cx1_3: 1.133e-2",Mon Sep 28 2020 15:25:52 GMT+0800 (中国标准时间)
Q2,93.41271836222315,123.42894336346963,4.83351836749176,1.4000000000000012e-2,4.199272422272774e-4,"cx2_1: 1.009e-2",Mon Sep 28 2020 15:25:52 GMT+0800 (中国标准时间)
Q3,88.55997495210053,100.96055236523708,4.807960767438911,1.8000000000000016e-2,5.34690344853728e-4,"cx3_1: 1.133e-2, cx3_4: 7.491e-3",Mon Sep 28 2020 15:25:52 GMT+0800 (中国标准时间)
Q4,91.6988583002298,49.181604276484784,4.7496655500275775,2.0000000000000018e-2,7.064983532414096e-4,"cx4_3: 7.491e-3",Mon Sep 28 2020 15:25:52 GMT+0800 (中国标准时间)
