Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,71.02309898164388,20.072179018760743,5.282913343167529,8.030000000000004e-2,1.4971002453722912e-3,"cx0_1: 3.977e-2, cx0_2: 1.735e-2",Mon Sep 28 2020 13:09:32 GMT+0800 (中国标准时间)
Q1,48.46949766963424,23.899995458495695,5.247625827553029,2.0399999999999974e-2,1.4324680524456898e-3,"cx1_0: 3.977e-2, cx1_2: 2.273e-2",Mon Sep 28 2020 13:09:32 GMT+0800 (中国标准时间)
Q2,51.14794617079409,62.65787642712216,5.033798408435778,3.5700000000000065e-2,5.20083523969008e-4,"cx2_0: 1.735e-2, cx2_1: 2.273e-2, cx2_3: 3.505e-2, cx2_4: 1.656e-2",Mon Sep 28 2020 13:09:32 GMT+0800 (中国标准时间)
Q3,72.32417497240434,37.35233260601619,5.292234014905843,2.0000000000000018e-2,8.658415786099923e-4,"cx3_2: 3.505e-2, cx3_4: 3.636e-2",Mon Sep 28 2020 13:09:32 GMT+0800 (中国标准时间)
Q4,68.94551110647949,41.02423687506316,5.078484377336536,3.53e-2,5.308353092299275e-4,"cx4_2: 1.656e-2, cx4_3: 3.636e-2",Mon Sep 28 2020 13:09:32 GMT+0800 (中国标准时间)
